,wind_speed_Hessen,wind_speed_Brandenburg,wind_speed_Niedersachsen,wind_speed_Bayern,wind_speed_Rheinland-Pfalz,wind_speed_Mecklenburg-Vorpommern,wind_speed_Thüringen,wind_speed_Berlin,wind_speed_Saarland,wind_speed_Nordrhein-Westfalen,wind_speed_Bremen,wind_speed_Sachsen-Anhalt,wind_speed_Schleswig-Holstein,wind_speed_Sachsen,wind_speed_Baden-Württemberg,wind_speed_Hamburg,time_unix
1708516800,4.664,4.724,6.382,2.496,4.363999999999999,7.728,5.848,4.64,4.710000000000001,4.5040000000000004,6.23,5.604,5.556,5.792,2.9259999999999997,5.32,1708516800
1708520400,4.4833333333333325,4.542666666666666,6.192,2.268666666666667,4.316,7.1866666666666665,5.657333333333333,4.406666666666666,4.631333333333334,4.867333333333334,6.260000000000001,5.287333333333334,5.428,5.346666666666667,2.8266666666666667,5.013333333333334,1708520400
1708524000,4.302666666666666,4.3613333333333335,6.002,2.041333333333333,4.268,6.645333333333334,5.466666666666667,4.173333333333333,4.552666666666667,5.230666666666667,6.29,4.970666666666666,5.3,4.9013333333333335,2.727333333333333,4.706666666666667,1708524000
1708527600,4.121999999999999,4.18,5.812,1.814,4.220000000000001,6.104000000000001,5.276,3.94,4.474,5.594,6.32,4.654,5.172,4.456,2.628,4.4,1708527600
1708531200,4.320666666666666,4.118666666666666,5.913333333333334,2.0233333333333334,4.546,5.684000000000001,5.360666666666666,3.8533333333333335,4.934666666666667,6.040666666666667,6.516666666666667,4.718666666666667,5.312666666666666,4.426666666666667,2.6753333333333336,4.486666666666667,1708531200
1708534800,4.519333333333333,4.057333333333333,6.014666666666667,2.232666666666667,4.872000000000001,5.264,5.445333333333333,3.7666666666666666,5.395333333333333,6.487333333333334,6.713333333333334,4.783333333333334,5.453333333333333,4.397333333333334,2.7226666666666666,4.573333333333333,1708534800
1708538400,4.718,3.9959999999999996,6.1160000000000005,2.442,5.198,4.844,5.529999999999999,3.68,5.856,6.934,6.91,4.848000000000001,5.593999999999999,4.368,2.77,4.66,1708538400
1708542000,5.358,4.399333333333333,6.711333333333333,2.510666666666667,5.668,5.134,5.956666666666666,3.986666666666667,6.278666666666666,6.758666666666667,7.3500000000000005,5.246666666666667,6.142666666666666,4.5120000000000005,3.5740000000000003,5.183333333333334,1708542000
1708545600,5.998,4.802666666666667,7.306666666666667,2.5793333333333335,6.138,5.424,6.383333333333334,4.293333333333333,6.701333333333333,6.583333333333333,7.79,5.645333333333334,6.691333333333334,4.656,4.378,5.706666666666667,1708545600
1708549200,6.638,5.206,7.901999999999999,2.648,6.608,5.714,6.8100000000000005,4.6,7.124,6.4079999999999995,8.23,6.0440000000000005,7.24,4.8,5.182,6.23,1708549200
